age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country
47,5.0,102308,14.0,15,2.0,10.0,0.0,4.0,1.0,0,2415,45,38.0
33,4.0,172664,15.0,10,2.0,4.0,0.0,4.0,1.0,0,0,70,38.0
39,4.0,322143,2.0,8,2.0,14.0,0.0,4.0,1.0,15024,0,70,38.0
27,4.0,113464,3.0,2,4.0,8.0,3.0,3.0,1.0,0,0,35,6.0
57,4.0,319733,9.0,13,2.0,7.0,0.0,4.0,1.0,0,0,40,30.0
47,4.0,363418,15.0,10,4.0,12.0,1.0,4.0,1.0,0,0,70,38.0
47,1.0,168191,15.0,10,2.0,3.0,0.0,4.0,1.0,0,0,40,0.0
60,2.0,195453,8.0,11,2.0,4.0,0.0,4.0,1.0,0,0,60,38.0
65,0.0,249043,9.0,13,2.0,0.0,0.0,4.0,1.0,10605,0,40,38.0
31,4.0,133770,7.0,12,2.0,3.0,1.0,1.0,1.0,0,0,50,38.0
40,4.0,326310,15.0,10,2.0,3.0,0.0,4.0,1.0,0,0,44,38.0
27,4.0,182540,1.0,7,4.0,3.0,1.0,4.0,1.0,0,0,40,38.0
31,4.0,467579,9.0,13,2.0,4.0,0.0,2.0,1.0,0,1887,40,38.0
27,4.0,153078,14.0,15,4.0,10.0,3.0,1.0,1.0,0,0,40,38.0
50,4.0,107665,15.0,10,2.0,12.0,0.0,4.0,1.0,0,0,40,38.0
62,4.0,121319,9.0,13,2.0,10.0,0.0,4.0,1.0,3103,0,40,38.0
49,4.0,168211,11.0,9,2.0,11.0,0.0,4.0,1.0,0,0,40,38.0
22,4.0,48988,15.0,10,4.0,14.0,1.0,4.0,1.0,0,0,40,38.0
59,5.0,141326,8.0,11,0.0,10.0,1.0,4.0,1.0,0,0,50,38.0
44,4.0,230478,9.0,13,2.0,4.0,0.0,4.0,1.0,0,0,40,38.0
46,6.0,157117,11.0,9,2.0,14.0,0.0,4.0,1.0,0,0,40,38.0
20,4.0,278155,15.0,10,4.0,1.0,3.0,4.0,1.0,0,0,40,38.0
33,7.0,163110,9.0,13,4.0,10.0,1.0,4.0,1.0,0,0,20,38.0
61,4.0,120939,14.0,15,2.0,14.0,0.0,4.0,1.0,0,0,5,38.0
54,6.0,156800,9.0,13,2.0,3.0,0.0,4.0,1.0,0,0,50,38.0
42,4.0,126701,9.0,13,0.0,1.0,4.0,4.0,1.0,9562,0,45,38.0
72,0.0,76860,11.0,9,2.0,0.0,0.0,1.0,1.0,0,0,1,38.0
35,7.0,184659,11.0,9,2.0,3.0,0.0,4.0,1.0,0,1485,40,38.0
68,2.0,144761,11.0,9,6.0,11.0,1.0,4.0,1.0,0,1668,20,38.0
28,4.0,131298,11.0,9,4.0,8.0,1.0,4.0,1.0,0,0,60,38.0
27,4.0,166210,11.0,9,0.0,3.0,1.0,4.0,1.0,0,0,50,38.0
36,7.0,137421,8.0,11,2.0,13.0,0.0,1.0,1.0,0,0,37,16.0
37,4.0,49626,8.0,11,2.0,13.0,0.0,4.0,1.0,0,0,43,38.0
41,4.0,183203,11.0,9,2.0,14.0,0.0,4.0,1.0,0,0,50,38.0
46,4.0,155664,15.0,10,4.0,6.0,1.0,4.0,1.0,0,0,40,38.0
56,6.0,258752,9.0,13,2.0,4.0,0.0,4.0,1.0,0,0,60,38.0
38,4.0,236391,9.0,13,2.0,4.0,0.0,4.0,1.0,7688,0,40,38.0
43,4.0,255635,4.0,3,2.0,7.0,0.0,3.0,1.0,0,0,40,25.0
40,4.0,27821,8.0,11,2.0,14.0,0.0,4.0,1.0,2829,0,40,38.0
30,4.0,164190,8.0,11,2.0,10.0,0.0,4.0,1.0,5178,0,52,38.0
18,2.0,466325,1.0,7,4.0,1.0,3.0,4.0,1.0,0,0,12,38.0
40,4.0,224658,9.0,13,2.0,12.0,0.0,4.0,1.0,0,0,45,38.0
38,6.0,67317,9.0,13,2.0,5.0,0.0,4.0,1.0,0,0,60,38.0
59,1.0,200700,7.0,12,2.0,5.0,0.0,2.0,1.0,0,0,40,38.0
29,4.0,107108,15.0,10,2.0,1.0,0.0,0.0,1.0,0,0,40,38.0
59,4.0,95165,10.0,16,2.0,12.0,0.0,4.0,1.0,0,0,40,38.0
46,4.0,208872,8.0,11,2.0,10.0,0.0,4.0,1.0,0,0,40,38.0
47,4.0,270079,5.0,4,2.0,3.0,0.0,4.0,1.0,0,0,40,38.0
20,0.0,424034,15.0,10,4.0,0.0,3.0,4.0,1.0,0,0,15,38.0
30,4.0,190912,1.0,7,2.0,6.0,0.0,1.0,1.0,0,1651,40,39.0
27,4.0,37088,6.0,5,4.0,8.0,3.0,4.0,1.0,0,0,30,38.0
38,4.0,64875,15.0,10,4.0,5.0,4.0,4.0,1.0,0,0,60,38.0
27,4.0,203776,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,50,38.0
46,6.0,122206,11.0,9,2.0,4.0,0.0,4.0,1.0,0,0,50,38.0
62,6.0,159939,11.0,9,2.0,5.0,0.0,4.0,1.0,0,0,35,38.0
33,6.0,112952,15.0,10,4.0,3.0,3.0,4.0,1.0,0,0,48,38.0
38,6.0,64875,11.0,9,0.0,5.0,1.0,4.0,1.0,0,0,50,38.0
57,4.0,206343,11.0,9,5.0,7.0,1.0,4.0,1.0,2174,0,40,5.0
29,4.0,177413,11.0,9,2.0,7.0,0.0,4.0,1.0,0,0,40,38.0
60,4.0,56248,15.0,10,2.0,12.0,0.0,4.0,1.0,0,0,40,38.0
52,4.0,190909,11.0,9,2.0,4.0,0.0,4.0,1.0,0,0,40,38.0
31,6.0,119411,11.0,9,4.0,3.0,3.0,4.0,1.0,0,0,50,38.0
33,4.0,180656,15.0,10,3.0,3.0,1.0,4.0,1.0,0,0,40,0.0
52,4.0,95128,15.0,10,0.0,12.0,1.0,4.0,1.0,0,0,50,38.0
36,4.0,549174,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,40,38.0
39,2.0,203070,11.0,9,5.0,11.0,1.0,4.0,1.0,0,0,40,38.0
57,6.0,73309,11.0,9,6.0,3.0,1.0,4.0,1.0,0,0,55,38.0
30,2.0,115040,11.0,9,2.0,6.0,2.0,4.0,1.0,0,0,25,38.0
49,1.0,229376,11.0,9,2.0,1.0,0.0,4.0,1.0,0,0,40,38.0
49,4.0,543922,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,42,38.0
41,2.0,144995,12.0,14,2.0,4.0,0.0,4.0,1.0,0,0,55,38.0
24,4.0,188925,8.0,11,2.0,7.0,0.0,4.0,1.0,0,0,40,38.0
57,4.0,278228,9.0,13,2.0,4.0,0.0,4.0,1.0,0,0,50,38.0
36,4.0,143385,11.0,9,4.0,3.0,1.0,4.0,1.0,0,0,40,38.0
42,6.0,27661,9.0,13,2.0,12.0,0.0,4.0,1.0,0,0,45,38.0
23,4.0,409230,9.0,13,4.0,12.0,1.0,4.0,1.0,0,0,25,38.0
28,6.0,39388,8.0,11,2.0,5.0,0.0,4.0,1.0,0,0,60,38.0
19,0.0,170653,11.0,9,4.0,0.0,3.0,4.0,1.0,0,0,40,21.0
26,4.0,127202,11.0,9,0.0,7.0,1.0,4.0,1.0,0,0,40,38.0
43,4.0,238287,0.0,6,4.0,7.0,1.0,2.0,1.0,0,0,40,38.0
36,4.0,226013,11.0,9,2.0,7.0,0.0,2.0,1.0,5178,0,40,38.0
43,4.0,154374,15.0,10,2.0,3.0,0.0,4.0,1.0,15024,0,60,38.0
58,4.0,252419,1.0,7,2.0,14.0,0.0,4.0,1.0,0,0,50,38.0
18,7.0,30687,15.0,10,4.0,1.0,3.0,4.0,1.0,0,0,10,38.0
34,7.0,173730,12.0,14,2.0,4.0,0.0,4.0,1.0,0,0,38,38.0
54,6.0,36327,5.0,4,2.0,7.0,0.0,4.0,1.0,0,0,50,38.0
22,0.0,219122,15.0,10,4.0,0.0,3.0,4.0,1.0,0,0,40,38.0
30,4.0,36069,7.0,12,2.0,12.0,0.0,4.0,1.0,0,0,40,38.0
33,2.0,70164,9.0,13,4.0,10.0,1.0,0.0,1.0,0,0,60,38.0
31,4.0,61308,0.0,6,4.0,8.0,1.0,4.0,1.0,0,0,40,38.0
38,4.0,297449,9.0,13,2.0,1.0,0.0,4.0,1.0,7298,0,50,38.0
41,7.0,355756,15.0,10,4.0,10.0,1.0,4.0,1.0,0,0,40,38.0
27,4.0,186454,9.0,13,4.0,10.0,1.0,1.0,1.0,13550,0,40,38.0
40,4.0,91836,11.0,9,0.0,3.0,1.0,4.0,1.0,0,0,45,38.0
31,5.0,117963,10.0,16,4.0,10.0,3.0,4.0,1.0,0,0,40,38.0
26,4.0,214413,15.0,10,4.0,3.0,3.0,4.0,1.0,0,0,40,38.0
35,4.0,30529,11.0,9,4.0,1.0,1.0,4.0,1.0,0,0,40,38.0
35,4.0,152909,9.0,13,2.0,4.0,0.0,4.0,1.0,0,1887,45,38.0
42,2.0,55363,12.0,14,2.0,10.0,0.0,4.0,1.0,0,0,55,38.0
31,2.0,178449,14.0,15,2.0,10.0,0.0,4.0,1.0,0,0,40,38.0
