age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country
23,3.0,181557,11.0,9,3.0,8.0,3.0,2.0,0.0,0,0,25,19.0
24,3.0,124963,11.0,9,3.0,7.0,3.0,4.0,0.0,0,0,30,19.0
44,5.0,38876,11.0,9,1.0,5.0,0.0,4.0,0.0,0,0,40,19.0
52,3.0,127749,11.0,9,1.0,13.0,0.0,4.0,0.0,0,0,50,19.0
37,6.0,348960,9.0,13,1.0,9.0,0.0,4.0,0.0,0,0,36,19.0
32,3.0,71540,14.0,10,0.0,9.0,1.0,4.0,0.0,0,0,40,19.0
45,3.0,99971,11.0,9,1.0,13.0,0.0,4.0,0.0,0,0,50,19.0
65,0.0,231604,11.0,9,1.0,0.0,0.0,4.0,0.0,0,0,45,8.0
44,3.0,221172,11.0,9,3.0,3.0,1.0,4.0,0.0,0,0,30,19.0
18,3.0,200876,1.0,7,3.0,13.0,3.0,4.0,0.0,0,0,16,19.0
36,3.0,153078,9.0,13,1.0,4.0,0.0,1.0,0.0,0,0,60,0.0
30,3.0,293936,11.0,9,3.0,8.0,1.0,4.0,0.0,0,0,50,0.0
32,3.0,195891,7.0,12,1.0,9.0,0.0,4.0,0.0,0,0,45,19.0
44,3.0,230592,9.0,13,3.0,12.0,1.0,4.0,0.0,0,0,35,19.0
32,0.0,115745,14.0,10,1.0,0.0,0.0,4.0,0.0,0,0,40,19.0
67,5.0,148690,12.0,14,5.0,9.0,1.0,4.0,0.0,18481,0,2,19.0
48,3.0,156926,9.0,13,0.0,1.0,1.0,4.0,0.0,0,0,40,19.0
40,3.0,285787,7.0,12,1.0,12.0,0.0,4.0,0.0,0,0,40,19.0
59,3.0,140569,14.0,10,4.0,11.0,1.0,4.0,0.0,14084,0,60,19.0
28,3.0,373698,2.0,8,1.0,9.0,0.0,4.0,0.0,0,0,45,0.0
27,2.0,133495,11.0,9,3.0,9.0,3.0,4.0,0.0,0,0,40,19.0
44,5.0,483201,9.0,13,1.0,4.0,0.0,4.0,0.0,0,0,40,19.0
33,3.0,143540,11.0,9,1.0,3.0,0.0,4.0,0.0,0,0,40,19.0
45,3.0,246891,9.0,13,1.0,4.0,0.0,4.0,0.0,0,0,72,1.0
49,3.0,76482,11.0,9,1.0,3.0,0.0,4.0,0.0,0,0,40,19.0
55,2.0,115457,11.0,9,1.0,8.0,0.0,4.0,0.0,0,0,40,19.0
33,5.0,312055,9.0,13,1.0,11.0,0.0,4.0,0.0,0,0,45,19.0
50,4.0,101094,12.0,14,1.0,11.0,0.0,4.0,0.0,0,0,55,19.0
39,3.0,188038,14.0,10,0.0,6.0,1.0,4.0,0.0,0,0,40,19.0
47,3.0,250170,11.0,9,1.0,7.0,0.0,2.0,0.0,0,0,40,19.0
57,3.0,160275,11.0,9,0.0,3.0,1.0,4.0,0.0,0,0,40,19.0
31,3.0,126950,11.0,9,0.0,13.0,1.0,4.0,0.0,0,0,40,19.0
46,3.0,149388,9.0,13,1.0,3.0,0.0,4.0,0.0,0,0,40,19.0
23,3.0,224424,9.0,13,3.0,8.0,3.0,4.0,0.0,0,0,40,19.0
39,3.0,67136,8.0,11,4.0,1.0,1.0,1.0,0.0,0,0,40,19.0
61,3.0,146788,5.0,4,1.0,13.0,0.0,4.0,0.0,0,0,40,19.0
25,3.0,44861,11.0,9,3.0,8.0,1.0,4.0,0.0,0,0,40,19.0
45,3.0,304570,9.0,13,1.0,4.0,0.0,1.0,0.0,0,0,60,2.0
36,3.0,190759,9.0,13,1.0,9.0,0.0,4.0,0.0,0,0,45,19.0
32,3.0,154087,11.0,9,1.0,13.0,0.0,4.0,0.0,0,0,40,19.0
