age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country
46,3.0,214955,4.0,3,0.0,2.0,1.0,4.0,0.0,0,2339,45,36.0
67,5.0,364862,11.0,9,6.0,7.0,1.0,4.0,0.0,0,0,30,36.0
17,3.0,220562,6.0,5,4.0,11.0,2.0,3.0,0.0,0,0,32,24.0
55,4.0,120920,12.0,14,0.0,9.0,1.0,4.0,0.0,0,0,35,36.0
35,3.0,406051,10.0,16,4.0,9.0,1.0,4.0,0.0,0,0,80,36.0
47,3.0,161311,11.0,9,0.0,6.0,4.0,4.0,0.0,0,0,30,36.0
21,3.0,113106,15.0,10,4.0,7.0,3.0,4.0,0.0,0,0,30,36.0
30,4.0,185384,15.0,10,2.0,3.0,5.0,4.0,0.0,0,0,25,36.0
29,3.0,277788,15.0,10,2.0,11.0,5.0,4.0,0.0,0,0,25,36.0
27,2.0,225291,7.0,12,4.0,9.0,1.0,4.0,0.0,0,0,40,36.0
38,3.0,117528,9.0,13,4.0,7.0,2.0,4.0,0.0,0,0,45,36.0
34,3.0,269723,11.0,9,0.0,3.0,4.0,4.0,0.0,2977,0,50,36.0
37,3.0,126569,11.0,9,4.0,2.0,3.0,4.0,1.0,0,0,40,36.0
40,3.0,143046,9.0,13,4.0,9.0,1.0,4.0,0.0,0,0,45,36.0
54,6.0,93415,9.0,13,4.0,9.0,4.0,1.0,0.0,0,0,40,36.0
23,3.0,76432,15.0,10,4.0,1.0,1.0,4.0,0.0,0,0,40,36.0
21,3.0,122348,15.0,10,4.0,12.0,3.0,4.0,0.0,0,0,35,36.0
76,0.0,42209,6.0,5,6.0,0.0,1.0,4.0,1.0,0,0,25,36.0
52,1.0,279337,11.0,9,2.0,1.0,0.0,4.0,1.0,0,0,40,36.0
27,2.0,199172,11.0,9,2.0,10.0,5.0,4.0,0.0,0,0,40,36.0
22,3.0,186573,11.0,9,4.0,13.0,1.0,4.0,0.0,0,0,46,36.0
26,3.0,491862,8.0,11,4.0,3.0,1.0,2.0,0.0,0,0,40,36.0
67,5.0,431426,11.0,9,2.0,1.0,5.0,4.0,0.0,0,0,2,36.0
34,3.0,207301,11.0,9,0.0,6.0,4.0,4.0,0.0,0,0,20,36.0
30,2.0,233993,9.0,13,4.0,9.0,3.0,4.0,0.0,0,0,15,36.0
65,3.0,261334,6.0,5,6.0,11.0,1.0,4.0,0.0,0,0,40,36.0
54,4.0,149650,11.0,9,0.0,7.0,1.0,4.0,1.0,0,0,40,2.0
30,3.0,271933,11.0,9,0.0,1.0,1.0,4.0,0.0,0,0,40,36.0
25,6.0,143062,11.0,9,4.0,1.0,3.0,4.0,0.0,0,0,40,36.0
21,3.0,362589,9.0,13,4.0,7.0,3.0,4.0,0.0,0,0,20,36.0
